maze,agent,optimal_steps,steps_taken,expanded_nodes,replan_count
maze-12-1,Dijkstra,46,77,2212,10
maze-12-1,Dijkstra,46,79,2079,8
maze-12-1,Dijkstra,46,90,3648,15
maze-12-1,Dijkstra,46,79,2940,14
maze-12-1,Dijkstra,46,83,1688,9
maze-12-1,Dijkstra,46,72,1277,5
maze-12-1,Dijkstra,46,79,2121,9
maze-12-1,Dijkstra,46,86,1145,9
maze-12-1,Dijkstra,46,108,5109,20
maze-12-1,Dijkstra,46,97,4738,17
maze-12-1,Dijkstra,46,94,4592,17
maze-12-1,Dijkstra,46,54,723,3
maze-12-1,Dijkstra,46,74,2375,12
maze-12-1,Dijkstra,46,93,2048,16
maze-12-1,Dijkstra,46,93,4370,17
maze-12-1,Dijkstra,46,92,3210,12
maze-12-1,Dijkstra,46,113,4903,20
maze-12-1,Dijkstra,46,72,462,6
maze-12-1,Dijkstra,46,93,3949,16
maze-12-1,Dijkstra,46,92,3926,14
maze-12-1,Dijkstra,46,95,5113,18
maze-12-1,Dijkstra,46,92,4308,14
maze-12-1,Dijkstra,46,91,3073,12
maze-12-1,Dijkstra,46,84,1784,12
maze-12-1,Dijkstra,46,78,2852,10
maze-12-1,Dijkstra,46,81,3259,12
maze-12-1,Dijkstra,46,88,1915,11
maze-12-1,Dijkstra,46,77,1992,8
maze-12-1,Dijkstra,46,85,1930,13
maze-12-1,Dijkstra,46,82,4088,14
maze-12-1,Dijkstra,46,103,4484,23
maze-12-1,Dijkstra,46,78,1879,12
maze-12-1,Dijkstra,46,82,3673,11
maze-12-1,Dijkstra,46,79,2436,9
maze-12-1,Dijkstra,46,84,3580,13
maze-12-1,Dijkstra,46,90,3255,15
maze-12-1,Dijkstra,46,89,3245,13
maze-12-1,Dijkstra,46,84,2447,12
maze-12-1,Dijkstra,46,110,3939,21
maze-12-1,Dijkstra,46,75,2953,9
maze-12-1,Dijkstra,46,90,2889,15
maze-12-1,Dijkstra,46,64,1724,8
maze-12-1,Dijkstra,46,76,2182,8
maze-12-1,Dijkstra,46,103,3989,19
maze-12-1,Dijkstra,46,97,2718,15
maze-12-1,Dijkstra,46,74,1957,8
maze-12-1,Dijkstra,46,71,2234,9
maze-12-1,Dijkstra,46,83,3556,12
